2022-05-09 18:59:11,975 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:59:11Z,  ip: 192.168.48.1, 
2022-05-09 18:59:20,054 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:59:20Z,  ip: 192.168.48.1, 
2022-05-09 19:11:23,943 [INFO] in __init__ : method: GET,  path: /,  status: 200,  time: 2022-05-09T19:11:23Z,  ip: 192.168.48.1, 
2022-05-09 19:11:25,754 [INFO] in __init__ : method: GET,  path: /register,  status: 200,  time: 2022-05-09T19:11:25Z,  ip: 192.168.48.1, 
2022-05-09 19:11:33,313 [INFO] in __init__ : method: POST,  path: /register,  status: 302,  time: 2022-05-09T19:11:33Z,  ip: 192.168.48.1, 
2022-05-09 19:11:33,343 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T19:11:33Z,  ip: 192.168.48.1, 
2022-05-09 19:11:38,300 [INFO] in __init__ : method: POST,  path: /login,  status: 302,  time: 2022-05-09T19:11:38Z,  ip: 192.168.48.1, 
2022-05-09 19:11:38,401 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T19:11:38Z,  ip: 192.168.48.1, 
2022-05-09 19:11:40,715 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T19:11:40Z,  ip: 192.168.48.1, 
2022-05-09 19:11:42,049 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T19:11:42Z,  ip: 192.168.48.1, 
2022-05-09 19:11:47,732 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T19:11:47Z,  ip: 192.168.48.1, 
2022-05-09 19:11:47,775 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T19:11:47Z,  ip: 192.168.48.1, 
2022-05-09 19:11:52,409 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T19:11:52Z,  ip: 192.168.48.1, 
2022-05-09 19:17:12,790 [INFO] in __init__ : method: GET,  path: /,  status: 200,  time: 2022-05-09T19:17:12Z,  ip: 192.168.48.1, 
2022-05-09 19:17:16,979 [INFO] in __init__ : method: GET,  path: /register,  status: 200,  time: 2022-05-09T19:17:16Z,  ip: 192.168.48.1, 
2022-05-09 19:17:23,775 [INFO] in __init__ : method: POST,  path: /register,  status: 302,  time: 2022-05-09T19:17:23Z,  ip: 192.168.48.1, 
2022-05-09 19:17:23,800 [INFO] in __init__ : method: GET,  path: /login,  status: 302,  time: 2022-05-09T19:17:23Z,  ip: 192.168.48.1, 
2022-05-09 19:17:23,897 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T19:17:23Z,  ip: 192.168.48.1, 
2022-05-09 19:17:27,253 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T19:17:27Z,  ip: 192.168.48.1, 
2022-05-09 19:17:28,233 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T19:17:28Z,  ip: 192.168.48.1, 
2022-05-09 19:17:32,557 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T19:17:32Z,  ip: 192.168.48.1, 
2022-05-09 19:17:32,599 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T19:17:32Z,  ip: 192.168.48.1, 
2022-05-09 19:17:34,167 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T19:17:34Z,  ip: 192.168.48.1, 
2022-05-09 19:35:27,115 [INFO] in __init__ : method: GET,  path: /,  status: 200,  time: 2022-05-09T19:35:27Z,  ip: 192.168.48.1, 
2022-05-09 19:35:29,824 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T19:35:29Z,  ip: 192.168.48.1, 
